Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.206
Albania,-0.327,-2.005,-2.585,-1.624,0.965,0.652,0.914,0.133,-4.621
Algeria,-5.257,-0.914,-8.113,-16.253,-13.451,-8.06,-7.01,-10.178,-11.655
Andorra,,,,,,,,,
Angola,4.992,0.447,-4.677,-1.136,-1.678,-2.963,7.024,6.356,4.944
Antigua and Barbuda,1.199,-1.678,-0.179,-0.087,2.395,-0.138,0.041,-1.228,-3.797
Argentina,-1.696,-2.64,-3.5,-4.418,-4.762,-4.228,-2.238,-0.402,-6.179
Armenia,-0.551,-0.567,-0.666,-3.368,-3.693,-2.633,0.559,1.431,-2.74
Aruba,-5.738,-2.679,-3.703,2.301,2.625,1.438,1.897,4.138,-11.011
Australia,-2.868,-2.074,-2.08,-1.871,-1.52,-0.849,-0.414,-3.58,-7.854
Austria,-0.022,0.19,-0.749,0.855,0.138,0.644,1.398,1.645,-7.121
Azerbaijan,3.813,1.749,2.891,-4.442,-0.725,-0.895,6.172,9.637,-5.848
The Bahamas,-1.463,-2.301,-1.705,-0.492,-0.237,-3.304,-0.805,0.828,-4.244
Bahrain,-4.695,-7.322,-1.655,-15.994,-14.463,-10.459,-7.474,-4.553,-12.787
Bangladesh,-0.993,-1.219,-0.879,-1.584,-1.568,-2.631,-2.467,-3.714,-3.001
Barbados,-1.853,-3.74,-0.545,-2.013,2.235,3.332,3.446,6.166,-0.963
Belarus,1.735,0.004,1.127,-1.29,0.31,1.636,3.771,2.647,-1.213
Belgium,-1.16,-0.191,-0.186,0.158,0.005,1.379,0.968,-0.244,-7.363
Belize,1.325,0.857,0.338,-3.011,-2.151,-1,1.261,-0.275,-5.492
Benin,0.191,-1.044,-1.371,-5.014,-3.384,-2.761,-1.385,1.057,-2.725
Bhutan,-0.216,-2.365,4.833,1.453,-0.394,-3.474,-1.265,-0.238,-1.218
Bolivia,2.779,1.613,-2.404,-5.904,-6.253,-6.712,-6.951,-5.847,-11.228
Bosnia and Herzegovina,-1.947,-0.551,-2.104,0.613,1.203,2.641,2.403,2.149,-3.941
Botswana,1.464,5.374,4.2,-4.265,0.921,-0.587,-4.478,-7.883,-10.396
Brazil,1.922,1.713,-0.633,-1.87,-2.485,-1.751,-1.616,-0.91,-9.149
Brunei Darussalam,15.786,13.025,3.576,-14.523,-21.68,-10.397,-3.587,-9.651,-15.766
Bulgaria,-0.147,-1.31,-3.432,-2.401,1.826,1.158,0.335,-0.814,-2.82
Burkina Faso,-2.111,-3.025,-1.098,-1.464,-2.223,-6.066,-3.303,-2.159,-4.289
Burundi,-2.989,-1.123,-3.425,-7.047,-6.46,-4.339,-5.058,-4.062,-3.635
Cabo Verde,-8.571,-7.536,-5.705,-1.973,-0.509,-0.376,-0.135,0.597,-6.523
Cambodia,-4.227,-2.283,-1.304,-0.343,0.059,-0.453,1.001,3.296,-3.111
Cameroon,-1.063,-3.207,-3.702,-3.879,-5.159,-3.895,-1.513,-2.247,-2.347
Canada,-1.822,-0.994,0.451,0.587,0.125,0.078,0.442,0.11,-10.938
Central African Republic,0.979,-5.341,-3.342,-0.05,1.606,-0.747,-0.572,1.769,-3.052
Chad,0.914,-1.535,-3.597,-2.695,0.059,1.345,3.023,0.818,3.044
Chile,0.792,-0.389,-1.352,-1.871,-2.378,-2.269,-1.113,-2.377,-6.619
China,0.187,-0.324,-0.128,-2.031,-2.712,-2.647,-3.475,-5.25,-8.761
Colombia,1.821,0.947,-0.161,-1.715,-0.351,-0.497,-2.493,-1.011,-4.359
Comoros,2.213,10.599,-0.268,2.683,-5.433,-0.03,-1.252,-4.131,-0.266
Democratic Republic of the Congo,2.336,2.391,0.282,-0.136,-0.225,1.628,0.373,-1.77,-1.183
Republic of Congo,7.247,-2.651,-10.55,-17.159,-13.661,-4.269,7.536,7.892,0.115
Costa Rica,-2.229,-2.766,-2.967,-2.871,-2.366,-2.902,-2.249,-2.628,-3.764
Cte d'Ivoire,-1.044,-0.615,-0.683,-0.944,-1.739,-2.066,-1.583,-0.771,-3.687
