Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,-23.515,-37.604,51.906,-11.653,-14.811,-6.6,28.012,-3.838,0.534
Albania,-0.405,8.394,3.656,4.976,10.288,10.176,3.826,1.409,-27.549
Algeria,-3.652,-6.394,0.311,5.733,9.612,0.042,-7.913,-2.954,-4.154
Andorra,,,,,,,,,
Angola,3.838,0.064,-2.115,6.721,-1.971,-1.252,-10.725,-5.927,-7.342
Antigua and Barbuda,n/a,n/a,n/a,-0.118,1.924,-6.984,2.878,13.849,-50.458
Argentina,-5.61,-3.788,-7.849,-1.699,6.917,-0.273,-0.399,12.255,-12.898
Armenia,12.222,13.269,9.778,9.676,17.746,13.552,9.05,16.497,-35.562
Aruba,,,,,,,,,
Australia,5.42,5.891,7.012,6.319,6.675,3.431,5.091,3.363,-9.825
Austria,1.438,0.641,2.888,3.049,2.988,4.898,5.139,3.417,-10.759
Azerbaijan,-0.046,-2.45,-0.705,7.088,1.659,-6.51,4.569,-0.348,-10.243
The Bahamas,8.64,-1.457,-3.227,-4.762,4.296,4.897,23.857,6.459,-67.784
Bahrain,20.804,-0.664,-4.068,-0.845,-2.757,3.69,3.262,0.381,-2.549
Bangladesh,3.463,13.495,12.414,5.858,15.457,1.742,6.302,14.012,-14.204
Barbados,-6.646,2.887,-2.912,8.312,11.586,0.279,-1.725,7.909,-37.734
Belarus,11.108,-17.036,2.589,1.318,1.744,8.953,5.917,0.151,0.815
Belgium,-0.922,2.511,1.464,1.308,3.308,1.5,0.85,0,-6.413
Belize,10.811,0.654,-0.462,-2.27,-8.913,-1.826,8.999,3.564,-26.826
Benin,16.963,27.922,13.541,-8.03,21.928,3.856,4.114,-11.883,5.565
Bhutan,-12.652,-15.21,-8.87,0.554,-12.944,8.15,6.876,-4.568,-3.488
Bolivia,25.81,6.646,7.75,-22.573,-15.261,9.253,4.577,2.491,-18.749
Bosnia and Herzegovina,-0.15,7.945,4.161,9.751,9.448,12.447,6.559,0.501,-15.75
Botswana,16.785,39.668,1.154,-7.36,-8.368,-5.457,11.882,-7.091,-18.112
Brazil,1.044,2.766,-0.304,8.755,4.264,5.19,3.428,-1.682,-1.367
Brunei Darussalam,3.911,-7.649,4.231,7.43,-7.265,-7.768,-6.626,20.14,28.74
Bulgaria,2.031,9.627,3.123,6.449,8.617,5.752,1.737,3.974,-10.458
Burkina Faso,9.927,1.879,10.018,6.504,11.673,19.424,5.963,-0.052,-2.713
Burundi,2.205,37.327,-12.715,-7.099,27.722,29.97,13.224,-15.813,-15.366
Cabo Verde,3.634,13.33,2.438,-6.836,12.316,1.502,10.116,10.272,-53.342
Cambodia,12.717,22.746,15.17,15.03,13.163,9.898,14.682,13.838,-1.083
Cameroon,-4.366,14.544,15.206,12.51,1.091,3.098,-1.481,-2.217,-6.972
Canada,2.815,2.461,6.323,3.419,1.407,1.445,3.825,2.274,-9.71
Central African Republic,7.543,-21.323,19.639,2.203,13.919,-1.712,6.317,-1.832,-0.277
Chad,-8.086,-12.929,5.947,36.629,-14.731,-12.163,11.43,11.776,2.982
Chile,0.272,3.131,0.392,-2.358,0.622,-0.95,4.89,-2.499,-1.204
China,5.882,8.76,4.295,-2.156,0.679,7.95,3.991,0.445,2.61
Colombia,4.473,4.678,-0.29,1.658,-0.208,2.569,0.642,3.084,-22.702
Comoros,-10.382,20.061,24.162,-7.418,-1.712,3.987,12.032,-1.559,-34.677
Democratic Republic of the Congo,-14.123,42.093,10.613,0.36,28.237,-23.871,30.558,-8.413,6.258
Republic of Congo,-11.213,-8.302,3.434,-1.36,59.457,-4.566,8.983,0.259,-2.242
Costa Rica,5.564,3.312,4.964,2.888,9.417,6.955,4.891,4.261,-10.939
Cte d'Ivoire,7.125,3.567,12.552,-2.681,-7.373,13.516,-2.248,16.693,-1.864
Croatia,-1.456,2.48,7.395,10.343,7.048,6.887,3.708,6.843,-22.726
Cyprus,-0.534,1.16,6.243,8.89,7.052,11.18,7.271,7.484,-5.106
Czech Republic,4.279,0.26,8.714,6.032,4.343,7.198,3.707,1.479,-8.031
Denmark,1.162,1.611,3.129,3.577,4.111,4.814,3.352,4.511,-6.307
Djibouti,4.59,3.642,10.158,-2.918,-23.563,52.549,9.327,12.35,-29.615
Dominica,-16.126,22.307,45.539,3.128,3.279,-21.941,-28.035,45.853,-51.734
Dominican Republic,7.276,9.977,12.002,9.282,7.703,3.34,4.267,-0.952,-31.625
Ecuador,4.997,4.57,6.178,-0.435,4.693,1.569,0.973,7.486,0.847
Egypt,-8.401,10.735,-12.682,19.281,-6.011,2.939,18.559,9.336,-3.961
El Salvador,0.638,6.282,2.04,3.893,0.952,3.358,1.181,7.824,-21.043
Equatorial Guinea,8.105,-3.147,6.427,4.14,-11.344,-16.212,-7.806,-12.145,3.871
Eritrea,0.05,-58.545,163.921,-35.77,-33.96,68.592,24.424,29.801,-5.738
Estonia,4.826,2.801,2.64,-1.502,4.822,4.832,2.899,6.109,-5.272
Eswatini,10.97,2.003,10.806,-0.987,3.827,3.965,-2.808,16.283,-2.401
Ethiopia,4.957,5.509,8.633,1.414,6.97,3.965,14.879,8.618,-8.058
Fiji,,,,,,,,,
Finland,0.233,0.574,-1.952,0.392,3.893,8.822,1.503,6.675,-6.755
France,3.076,2.219,3.341,4.479,1.619,4.612,4.522,1.622,-16.975
Gabon,-2.927,-1.263,2.209,20.106,-9.472,-8.323,-2.101,6.728,18.871
The Gambia,15.884,-8.263,-9.92,-11.783,13.938,5.969,26.277,19.783,-58.126
Georgia,14.674,17.107,0.417,4.634,8.711,11.629,10.233,9.998,-36.494
Germany,3.568,1.189,4.682,4.876,2.29,5.556,2.401,1.284,-10.052
Ghana,5.778,9.604,3.204,-8.685,5.736,32.593,1.733,5.726,-7.318
Greece,1.645,12.925,7.921,3.992,-0.391,8.338,8.847,7.038,-26.281
Grenada,n/a,n/a,n/a,5.085,1.13,-16.265,39.35,0.776,-62.901
Guatemala,1.951,5.975,6.927,2.838,2.359,1.49,-0.37,0.208,-7.689
Guinea,2.42,-7.04,5.641,11.443,10.269,22.143,8.88,-6.54,3.456
Guinea-Bissau,-13.336,5.143,8.027,6.699,0.806,6.392,35.527,13.527,-13.785
Guyana,-0.562,-8.39,1.011,-1.906,0.834,0.432,-1.17,7.005,154.887
Haiti,-1.536,21.953,7.239,8.552,-1.487,1.121,4.806,-3.087,-39.559
Honduras,9.873,-1.252,2.77,3.866,-0.178,4.859,-0.572,3.783,-13.391
Hong Kong SAR,3.205,7.818,0.973,-1.371,0.684,5.845,3.654,-6.149,-6.683
Hungary,-1.704,4.103,9.198,7.365,3.804,6.475,4.985,5.423,-6.076
Iceland,3.598,6.805,3.889,8.948,10.951,5.08,1.681,-4.668,-29.872
India,0.037,4.748,4.056,-5.236,6.759,10.208,5.051,-2.146,-6.338
Indonesia,-0.996,-0.975,-0.768,-2.882,2.832,7.566,4.51,0.101,-7.964
Islamic Republic of Iran,-1.312,-20.329,22.507,43.039,14.499,0.266,-12.812,-21.702,-4.626
Iraq,,,,,,,,,
