Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,4.987
Albania,2.463,1.776,0.719,1.937,2.165,1.808,1.799,1.15,1.051
Algeria,9.035,1.148,5.253,4.362,6.957,4.933,2.702,2.434,3.516
Andorra,1.054,0.182,-0.869,-0.53,0.943,2.376,0.751,1.009,-0.202
Angola,9.042,7.687,7.498,12.091,41.125,23.667,18.604,16.893,25.103
Antigua and Barbuda,1.839,1.059,1.327,0.9,-1.121,2.356,1.739,0.689,2.778
Argentina,10.842,10.946,23.915,n/a,n/a,24.796,47.646,53.832,36.141
Armenia,3.107,5.596,4.569,-0.184,-1.172,5.595,1.346,0.72,3.746
Aruba,-3.715,0.08,2.201,-0.926,-0.881,-0.462,4.456,3.58,-3.067
Australia,2.102,2.647,1.719,1.69,1.385,2.095,1.695,1.842,0.947
Austria,2.81,1.846,0.709,0.975,1.534,2.285,1.707,1.82,1.037
Azerbaijan,-0.277,3.718,-0.107,6.946,15.535,7.932,1.598,2.418,2.72
The Bahamas,0.655,0.955,0.202,2.024,0.967,1.613,1.963,1.434,1.163
Bahrain,2.609,3.952,2.49,0.77,2.304,1.347,1.983,1.191,-1.61
Bangladesh,5.546,8.049,6.966,6.253,5.531,5.944,5.542,5.518,6.021
Barbados,2.413,1.208,2.388,-2.507,3.828,6.567,0.649,7.197,1.253
Belarus,21.778,16.466,16.22,11.97,10.576,4.59,5.642,4.73,7.336
Belgium,2.082,1.167,-0.391,1.45,2.204,2.059,2.198,0.922,0.351
Belize,0.807,1.607,-0.173,-0.585,1.148,1.033,-0.108,0.164,0.381
Benin,6.89,-1.785,-0.737,2.261,-2.761,2.957,-0.133,0.274,1.159
Bhutan,9.5,12.9,8.1,4.8,3.6,4.9,2.5,2.7,4.54
Bolivia,4.54,6.48,5.194,2.953,4.003,2.715,1.507,1.469,0.67
Bosnia and Herzegovina,1.803,-1.418,-0.435,-1.298,-0.534,0.716,1.582,0.615,-1.052
Botswana,7.435,4.068,3.75,3.1,2.986,3.184,3.539,2.2,2.153
Brazil,5.839,5.911,6.408,10.673,6.288,2.947,3.745,4.306,4.517
Brunei Darussalam,0.038,0.157,1.229,-1.392,-0.627,-0.46,-0.006,0.273,2
Bulgaria,2.763,-0.851,-1.951,-0.896,-0.502,1.796,2.31,3.1,0.019
Burkina Faso,1.674,0.12,-0.149,2.867,-0.302,1.64,0.336,-2.556,2.318
Burundi,11.841,9.017,3.745,7.132,9.497,10.499,-5.877,5.142,7.511
Cabo Verde,4.14,0.065,-0.339,-0.525,-0.25,0.269,1.003,1.936,-0.853
Cambodia,2.541,4.675,1.04,2.848,3.875,2.231,1.632,3.072,2.876
