Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,
Albania,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675
Algeria,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,n/a
Andorra,6.175,6.325,5.8,3.575,3.025,1.725,1.525,1.775,2.85
Angola,,,,,,,,,
Antigua and Barbuda,,,,,,,,,
Argentina,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,11.55
Armenia,17.3,16.2,17.6,18.5,18,17.8,19,18.3,18.1
Aruba,9.607,7.599,7.451,7.298,7.694,8.923,7.283,5.2,8.6
Australia,5.233,5.658,6.058,6.058,5.708,5.6,5.292,5.167,6.483
Austria,5.242,5.35,6.042,6.158,6.45,5.925,5.233,4.817,5.4
Azerbaijan,5.185,4.973,4.913,4.958,5.043,4.961,4.944,4.848,7.157
The Bahamas,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.1,25.55
Bahrain,3.7,4.4,3.8,3.4,3.7,3.58,3.885,4.7,5.9
Bangladesh,,,,,,,,,
Barbados,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.088,21.279
Belarus,5.536,5.436,5.417,5.821,5.92,5.684,4.825,4.191,4.082
Belgium,7.65,8.55,8.658,8.658,7.925,7.167,6.042,5.458,5.75
Belize,15.275,12.926,11.6,10.143,9.541,9.328,9.377,9.041,13.743
Benin,,,,,,,,,
Bhutan,2.1,2.9,2.6,2.5,2.1,3.138,3.4,2.3,5
Bolivia,3.229,4,4,4,4.67,5.08,4.88,5.16,8.47
Bosnia and Herzegovina,28,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9
Botswana,,,,,,,,,
Brazil,7.4,7.225,6.9,8.625,11.65,12.85,12.375,11.975,13.775
Brunei Darussalam,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.822,6.822
Bulgaria,12.379,13.038,11.524,9.233,7.666,6.23,5.273,4.275,5.207
Burkina Faso,,,,,,,,,
Burundi,,,,,,,,,
Cabo Verde,16.8,16.4,15.8,12.4,15,12.2,12.2,8.5,8.5
Cambodia,,,,,,,,,
Cameroon,,,,,,,,,
Canada,7.375,7.133,6.967,6.942,7.05,6.383,5.908,5.75,9.583
Central African Republic,,,,,,,,,
Chad,,,,,,,,,
Chile,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223,10.77
China,4.09,4.05,4.09,4.05,4.02,3.9,3.8,3.62,4.24
Colombia,10.5,9.733,9.183,8.942,9.217,9.292,9.508,10.375,15.867
Comoros,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,
Republic of Congo,,,,,,,,,
Costa Rica,9.849,8.311,9.658,9.604,9.541,9.293,11.951,12.417,19.98
Cte d'Ivoire,,,,,,,,,
Croatia,18.6,19.808,19.275,17.067,14.958,12.433,9.858,7.758,9
Cyprus,11.8,15.85,16.075,14.9,12.95,11.05,8.35,7.075,7.575
Czech Republic,6.975,6.949,6.111,5.021,3.946,2.89,2.243,2.001,2.541
Denmark,7.808,7.383,6.85,6.292,6.017,5.817,5.1,5.042,5.642
Djibouti,,,,,,,,,
Dominica,,,,,,,,,
Dominican Republic,8.407,9.196,8.538,7.328,7.08,5.509,5.656,6.167,5.829
Ecuador,4.12,4.15,3.8,4.77,5.21,4.62,3.69,3.84,5.346
Egypt,12.373,12.992,13.365,12.859,12.705,12.245,10.932,8.612,8.296
El Salvador,6.1,5.9,7,7.006,6.98,7.049,6.346,6.335,11.973
Equatorial Guinea,,,,,,,,,
Eritrea,,,,,,,,,
Estonia,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.448,6.806
Eswatini,,,,,,,,,
Ethiopia,,,,,,,,,
Fiji,6.8,6.367,6.2,5.5,5.5,4.5,4.5,4.5,13.351
Finland,7.8,8.325,8.825,9.575,8.975,8.825,7.425,6.733,7.758
France,9.775,10.3,10.275,10.35,10.067,9.417,9.025,8.408,8.025
Gabon,,,,,,,,,
The Gambia,,,,,,,,,
Georgia,26.7,26.4,23,21.9,21.7,21.6,19.2,17.6,18.5
Germany,5.083,4.95,4.708,4.367,3.908,3.567,3.208,2.975,3.625
Ghana,,,,,,,,,
Greece,24.425,27.475,26.5,24.9,23.55,21.45,19.3,17.325,16.4
Grenada,,,,,,,,,
Guatemala,,,,,,,,,
Guinea,,,,,,,,,
Guinea-Bissau,,,,,,,,,
Guyana,,,,,,,,,
Haiti,,,,,,,,,
Honduras,3.754,4.096,5.488,6.147,6.727,5.528,5.648,5.386,10.912
Hong Kong SAR,3.286,3.401,3.296,3.315,3.393,3.124,2.805,2.916,5.808
Hungary,10.668,9.849,7.511,6.626,4.971,4.041,3.596,3.309,4.115
Iceland,6.617,5.833,5.417,4.5,3.342,3.283,3.1,3.925,6.433
India,,,,,,,,,
Indonesia,6.14,6.25,5.94,6.18,5.61,5.5,5.24,5.18,7.07
Islamic Republic of Iran,12.1,10.4,10.6,11,12.425,12.075,12.125,10.65,9.6
Iraq,,,,,,,,,
Ireland,15.492,13.767,11.9,9.917,8.383,6.75,5.783,4.983,5.842
Israel,6.867,6.208,5.875,5.242,4.825,4.225,3.975,3.817,4.3
Italy,10.9,12.358,12.775,12.025,11.708,11.308,10.625,9.892,9.342
Jamaica,13.925,15.275,13.75,13.5,13.2,11.65,9.125,7.7,10.2
Japan,4.325,4.008,3.583,3.375,3.108,2.825,2.442,2.358,2.783
Jordan,12.15,12.6,11.875,13.075,15.275,18.3,18.6,19.075,22.7
Kazakhstan,5.283,5.192,5.136,5.037,4.93,4.872,4.828,4.793,4.925
Kenya,,,,,,,,,
Kiribati,,,,,,,,,
Korea,3.225,3.1,3.492,3.592,3.675,3.683,3.833,3.783,3.942
Kosovo,30.9,30,35.3,32.9,27.525,30.475,29.5,25.65,25.95
Kuwait,1.986,1.902,1.722,1.322,1.248,1.28,1.087,1.183,1.276
Kyrgyz Republic,8.427,8.332,8.046,7.554,7.211,6.891,6.922,6.922,8.656
Lao P.D.R.,,,,,,,,,
Latvia,15.048,11.868,10.847,9.875,9.642,8.715,7.415,6.311,8.099
Lebanon,,,,,,,,,
Lesotho,,,,,,,,,
Liberia,,,,,,,,,
Libya,,,,,,,,,
Lithuania,13.366,11.77,10.699,9.119,7.861,7.073,6.146,6.254,8.488
Luxembourg,6.099,6.83,7.092,6.648,6.263,5.844,5.099,5.402,6.354
Macao SAR,2,1.85,1.7,1.825,1.9,1.975,1.8,1.725,2.55
Madagascar,,,,,,,,,
